D,DATE,RACE,CHARGE_TYPE,DESCRIPTION
127,2025-02-17,WHITE,M,CRIMINAL TRESPASS
128,2025-02-18,HISPANIC,F,BURGLARY
129,2025-02-20,BLACK,M,NARCOTICS
130,2025-02-21,BLACK,M,THEFT
131,2025-02-23,HISPANIC,M,BATTERY
132,2025-02-25,BLACK,F,ROBBERY
133,2025-02-26,BLACK,M,ASSAULT
134,2025-02-28,OTHER,M,NARCOTICS
135,2025-03-01,HISPANIC,M,CRIMINAL DAMAGE
136,2025-03-03,BLACK,M,BATTERY
137,2025-03-04,BLACK,M,THEFT
138,2025-03-06,WHITE,F,NARCOTICS
139,2025-03-08,HISPANIC,M,ASSAULT
140,2025-03-09,BLACK,M,CRIMINAL TRESPASS
141,2025-03-11,BLACK,M,BATTERY
142,2025-03-13,HISPANIC,M,NARCOTICS
143,2025-03-14,BLACK,F,WEAPONS VIOLATION
144,2025-03-16,BLACK,M,THEFT
145,2025-03-18,WHITE,M,ASSAULT
146,2025-03-19,HISPANIC,M,BATTERY
147,2025-03-21,BLACK,M,CRIMINAL DAMAGE
148,2025-03-23,BLACK,M,NARCOTICS
149,2025-03-24,OTHER,F,AGGRAVATED ASSAULT
150,2025-03-26,HISPANIC,M,THEFT
151,2025-04-01,BLACK,M,BATTERY
152,2025-04-03,HISPANIC,M,ASSAULT
153,2025-04-05,BLACK,F,NARCOTICS
154,2025-04-06,BLACK,M,THEFT
155,2025-04-08,WHITE,M,CRIMINAL TRESPASS
156,2025-04-10,HISPANIC,M,BATTERY
157,2025-04-11,BLACK,M,NARCOTICS
158,2025-04-13,BLACK,M,RETAIL THEFT
159,2025-04-14,HISPANIC,F,ROBBERY
160,2025-04-16,BLACK,M,ASSAULT
161,2025-04-18,BLACK,M,CRIMINAL DAMAGE
162,2025-04-19,ASIAN,M,NARCOTICS
163,2025-04-21,HISPANIC,M,BATTERY
164,2025-04-23,BLACK,F,WEAPONS VIOLATION
165,2025-04-24,BLACK,M,THEFT
166,2025-04-26,WHITE,M,ASSAULT
167,2025-05-01,HISPANIC,M,NARCOTICS
168,2025-05-03,BLACK,M,BATTERY
169,2025-05-04,BLACK,M,CRIMINAL TRESPASS
170,2025-05-06,HISPANIC,F,BURGLARY
171,2025-05-08,BLACK,M,THEFT
172,2025-05-09,BLACK,M,NARCOTICS
173,2025-05-11,OTHER,M,ASSAULT
174,2025-05-13,HISPANIC,M,BATTERY
175,2025-05-14,BLACK,F,AGGRAVATED BATTERY
176,2025-05-16,BLACK,M,CRIMINAL DAMAGE
177,2025-05-18,WHITE,M,NARCOTICS
178,2025-05-19,HISPANIC,M,THEFT
179,2025-05-21,BLACK,M,BATTERY
180,2025-05-23,BLACK,M,ASSAULT
181,2025-06-01,HISPANIC,F,NARCOTICS
182,2025-06-03,BLACK,M,THEFT
183,2025-06-04,BLACK,M,CRIMINAL TRESPASS
184,2025-06-06,WHITE,M,BATTERY
185,2025-06-08,HISPANIC,M,ASSAULT
186,2025-06-09,BLACK,F,ROBBERY
187,2025-06-11,BLACK,M,NARCOTICS
188,2025-06-13,HISPANIC,M,THEFT
189,2025-06-14,BLACK,M,BATTERY
190,2025-06-16,BLACK,M,CRIMINAL DAMAGE
191,2025-06-18,OTHER,M,NARCOTICS
192,2025-06-19,HISPANIC,F,WEAPONS VIOLATION
193,2025-06-21,BLACK,M,ASSAULT
194,2025-06-23,BLACK,M,THEFT
195,2025-06-24,WHITE,M,BATTERY
196,2025-07-01,HISPANIC,M,NARCOTICS
197,2025-07-03,BLACK,F,AGGRAVATED ASSAULT
198,2025-07-04,BLACK,M,CRIMINAL TRESPASS
199,2025-07-06,HISPANIC,M,THEFT
200,2025-07-08,BLACK,M,BATTERY
201,2024-07-10,BLACK,M,NARCOTICS
202,2024-07-11,HISPANIC,M,ASSAULT
203,2024-07-13,WHITE,F,ROBBERY
204,2024-07-15,BLACK,M,THEFT
205,2024-07-16,BLACK,M,BATTERY
206,2024-07-18,HISPANIC,M,CRIMINAL DAMAGE
207,2024-07-20,BLACK,F,NARCOTICS
208,2024-07-21,BLACK,M,ASSAULT
209,2024-07-23,OTHER,M,THEFT
210,2024-07-25,HISPANIC,M,BATTERY
211,2024-08-01,BLACK,M,NARCOTICS
212,2024-08-03,HISPANIC,F,WEAPONS VIOLATION
213,2024-08-04,BLACK,M,CRIMINAL TRESPASS
214,2024-08-06,BLACK,M,THEFT
215,2024-08-08,WHITE,M,ASSAULT
216,2024-08-09,HISPANIC,M,BATTERY
217,2024-08-11,BLACK,M,NARCOTICS
218,2024-08-13,BLACK,F,ROBBERY
219,2024-08-14,HISPANIC,M,THEFT
220,2024-08-16,BLACK,M,BATTERY
221,2024-08-18,BLACK,M,CRIMINAL DAMAGE
222,2024-08-19,ASIAN,M,NARCOTICS
223,2024-08-21,HISPANIC,M,ASSAULT
224,2024-08-23,BLACK,F,AGGRAVATED BATTERY
225,2024-08-24,BLACK,M,THEFT
226,2024-08-26,WHITE,M,BATTERY
227,2024-09-01,HISPANIC,M,NARCOTICS
228,2024-09-03,BLACK,M,CRIMINAL TRESPASS
229,2024-09-04,BLACK,M,ASSAULT
230,2024-09-06,HISPANIC,M,THEFT
231,2024-09-08,BLACK,F,NARCOTICS
232,2024-09-09,BLACK,M,BATTERY
233,2024-09-11,OTHER,M,CRIMINAL DAMAGE
234,2024-09-13,HISPANIC,M,ASSAULT
235,2024-09-14,BLACK,M,NARCOTICS
236,2024-09-16,BLACK,M,THEFT
237,2024-09-18,WHITE,F,WEAPONS VIOLATION
238,2024-09-19,HISPANIC,M,BATTERY
239,2024-09-21,BLACK,M,CRIMINAL TRESPASS
240,2024-09-23,BLACK,M,NARCOTICS
241,2025-07-10,HISPANIC,M,THEFT
242,2025-07-11,BLACK,F,NARCOTICS
243,2025-07-13,BLACK,M,BATTERY
244,2025-07-15,WHITE,M,ASSAULT
245,2025-07-16,HISPANIC,M,CRIMINAL DAMAGE
246,2025-07-18,BLACK,M,NARCOTICS
247,2025-07-19,BLACK,F,ROBBERY
248,2025-07-21,HISPANIC,M,BATTERY
249,2025-07-23,BLACK,M,THEFT
250,2025-07-24,BLACK,M,WEAPONS VIOLATION
251,2025-08-01,OTHER,M,ASSAULT
252,2025-08-03,HISPANIC,F,AGGRAVATED ASSAULT
253,2025-08-04,BLACK,M,NARCOTICS
254,2025-08-06,BLACK,M,CRIMINAL TRESPASS
255,2025-08-08,WHITE,M,THEFT
256,2025-08-09,HISPANIC,M,BATTERY
257,2025-08-11,BLACK,M,NARCOTICS
258,2025-08-13,BLACK,M,ASSAULT
259,2025-08-14,HISPANIC,M,THEFT
260,2025-08-16,BLACK,F,NARCOTICS
261,2025-08-18,BLACK,M,BATTERY
262,2025-08-19,ASIAN,M,CRIMINAL DAMAGE
263,2025-08-21,HISPANIC,M,ASSAULT
264,2025-08-23,BLACK,M,NARCOTICS
265,2025-08-24,BLACK,M,THEFT
266,2025-08-26,WHITE,M,BATTERY
267,2025-09-01,HISPANIC,F,WEAPONS VIOLATION
268,2025-09-03,BLACK,M,CRIMINAL TRESPASS
269,2025-09-04,BLACK,M,NARCOTICS
270,2025-09-06,HISPANIC,M,THEFT
271,2025-09-08,BLACK,M,ASSAULT
272,2025-09-09,BLACK,M,BATTERY
273,2025-09-11,OTHER,M,NARCOTICS
274,2025-09-13,HISPANIC,M,CRIMINAL DAMAGE
275,2025-09-14,BLACK,F,ROBBERY
276,2025-09-16,BLACK,M,THEFT
277,2025-09-18,WHITE,M,BATTERY
278,2025-09-19,HISPANIC,M,NARCOTICS
279,2025-09-21,BLACK,M,ASSAULT
280,2025-09-23,BLACK,M,CRIMINAL TRESPASS
281,2025-10-01,HISPANIC,M,THEFT
282,2025-10-03,BLACK,F,NARCOTICS
283,2025-10-04,BLACK,M,BATTERY
284,2025-10-06,WHITE,M,ASSAULT
285,2025-10-08,HISPANIC,M,NARCOTICS
286,2025-10-09,BLACK,M,THEFT
287,2025-10-11,BLACK,M,CRIMINAL DAMAGE
288,2025-10-13,HISPANIC,F,AGGRAVATED BATTERY
289,2025-10-14,BLACK,M,BATTERY
290,2025-10-16,BLACK,M,NARCOTICS
291,2025-10-18,OTHER,M,THEFT
292,2025-10-19,HISPANIC,M,ASSAULT
293,2025-10-21,BLACK,M,CRIMINAL TRESPASS
294,2025-10-23,BLACK,F,WEAPONS VIOLATION
295,2025-10-24,WHITE,M,NARCOTICS
296,2025-10-26,HISPANIC,M,BATTERY
297,2025-11-01,BLACK,M,THEFT
298,2025-11-03,BLACK,M,ASSAULT
299,2025-11-04,HISPANIC,M,NARCOTICS
300,2025-11-06,BLACK,M,BATTERY
